Species,Mass,Length,Habitat,Dietti
Tamias speciosus,59.0,212.0,Temperate,Omnivore
Tamias striatus,90.5,260.5,, Granivore
Tamias umbrinus,59.3,225.9,Temperate,Omnivore
Tamiasciurus douglasii,226.5,312.5,Temperate, Granivore
Tamiasciurus hudsonicus,212.97,327.5,Temperate, Granivore
Tamiops swinhoei,60.0,100.0,Tropical, Granivore
Tatera indica,163.5,160.0,Temperate,Omnivore
Thallomys paedulcus,68.0,141.5,Temperate, Granivore
Thomomys bulbivorus,550.0,325.0,Temperate, Folivore
Thomomys talpoides,110.0,212.5,Temperate, Folivore
Thryonomys gregorianus,5080.0,380.0,Tropical, Folivore
Thryonomys swinderianus,4000.0,480.0,Tropical, Folivore
Trichys fasciculata,1900.0,379.5,Tropical, Folivore
Xerus erythropus,622.5,333.0,Tropical,Omnivore
Xerus inauris,528.5,455.5,Tropical,Omnivore
Zapus hudsonius,18.25,210.0,Temperate, Granivore
Zenkerella insignis,200.0,220.0,Tropical, Lignivore
Zygodontomys brevicauda,80.0,125.0,Tropical,Omnivore
